scope,run_id,run_label,benchmark_name,model,prompt_family_id,experiment_group,game,variant_name,architecture_id,architecture_name,trial_count,run_count,outcome_score_mean,outcome_score_variance,outcome_score_stddev,outcome_score_observations,invalid_rate_mean,invalid_rate_variance,invalid_rate_stddev,invalid_rate_observations,nash_distance_mean,nash_distance_variance,nash_distance_stddev,nash_distance_observations,oracle_accuracy_mean,oracle_accuracy_variance,oracle_accuracy_stddev,oracle_accuracy_observations,value_gap_mean,value_gap_variance,value_gap_stddev,value_gap_observations,blunder_rate_mean,blunder_rate_variance,blunder_rate_stddev,blunder_rate_observations
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,hierarchical,Hierarchical Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,connect4_oracle_accuracy,connect4,connect4,hierarchical_team,Hierarchical Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,90.91,0.0,0.0,3,,,,0,0.0,0.0,0.0,3
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,parallel,Parallel Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,parallel,Parallel Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,parallel,Parallel Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,connect4_oracle_accuracy,connect4,connect4,parallel_team,Parallel Team,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,90.91,0.0,0.0,3,,,,0,0.0,0.0,0.0,3
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,single,Single Agent,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,single,Single Agent,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,single,Single Agent,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,20.0,0.0,0.0,3,20010.8,0.0,0.0,3,0.8,0.0,0.0,3
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,connect4_oracle_accuracy,connect4,connect4,single_agent,Single Agent,3,1,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0,90.91,0.0,0.0,3,,,,0,0.0,0.0,0.0,3
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,hierarchical,Hierarchical Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.12666666666666668,0.003255555555555556,0.0570574758954123,6,,,,0,,,,0,,,,0
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,hierarchical,Hierarchical Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.12666666666666668,0.003255555555555556,0.0570574758954123,6,,,,0,,,,0,,,,0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,hierarchical,Hierarchical Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.12666666666666668,0.003255555555555556,0.0570574758954123,6,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,internal_ai_tournament,blotto,blotto,hierarchical_team,Hierarchical Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,parallel,Parallel Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.125,0.004525,0.06726812023536856,6,,,,0,,,,0,,,,0
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,parallel,Parallel Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.125,0.004525,0.06726812023536856,6,,,,0,,,,0,,,,0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,parallel,Parallel Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.125,0.004525,0.06726812023536856,6,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,internal_ai_tournament,blotto,blotto,parallel_team,Parallel Team,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,single,Single Agent,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.14833333333333334,0.0024138888888888886,0.04913134324327891,6,,,,0,,,,0,,,,0
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,single,Single Agent,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.14833333333333334,0.0024138888888888886,0.04913134324327891,6,,,,0,,,,0,,,,0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,blotto,discrete_blotto_v1,single,Single Agent,6,1,0.5,0.0,0.0,6,0.0,0.0,0.0,6,0.14833333333333334,0.0024138888888888886,0.04913134324327891,6,,,,0,,,,0,,,,0
